"ParticipantType" "SegID" "emmean" "SE" "df" "lower.CL" "upper.CL"
"Control" "138" 0.718094199209541 0.00724494570486355 55 0.703575003564496 0.732613394854586
"Patient" "138" 0.72002602469684 0.0145574071596449 55 0.690852328820337 0.749199720573342
"Control" "139" 0.710057242687801 0.00724494570486352 55 0.695538047042756 0.724576438332846
"Patient" "139" 0.722451024696839 0.0145574071596449 55 0.693277328820337 0.751624720573342
"Control" "142" 0.695146373122582 0.00724494570486339 55 0.680627177477537 0.709665568767627
"Patient" "142" 0.700545439358981 0.0149839200351396 55 0.670516992579337 0.730573886138624
"Control" "143" 0.72039637312258 0.00724494570486337 55 0.705877177477535 0.734915568767624
"Patient" "143" 0.729001024696836 0.0145574071596449 55 0.699827328820334 0.758174720573339
"Control" "144" 0.722557242687799 0.00724494570486342 55 0.708038047042754 0.737076438332844
"Patient" "144" 0.724634358030171 0.014557407159645 55 0.695460662153669 0.753808053906674
"Control" "145" 0.698392025296493 0.00724494570486334 55 0.683872829651449 0.712911220941538
"Patient" "145" 0.707417691363503 0.014557407159645 55 0.678243995487001 0.736591387240006
